FID,省级,市级,市代码,区县级,区县码,乡镇级,乡镇码,省代码
10679,山西省,大同市,1.402E+11,广灵县,1.40223E+11,一斗泉乡,1.40223E+11,140000
10680,四川省,自贡市,5.103E+11,富顺县,5.10322E+11,琵琶镇,5.10322E+11,510000
10681,河南省,洛阳市,4.103E+11,伊川县,4.10329E+11,白沙镇,4.10329E+11,410000
10682,广东省,梅州市,4.414E+11,丰顺县,4.41423E+11,小胜镇,4.41423E+11,440000
10683,贵州省,贵阳市,5.201E+11,乌当区,5.20112E+11,新堡布依族乡,5.20112E+11,520000
10684,贵州省,安顺市,5.204E+11,紫云苗族布依族自治县,5.20425E+11,四大寨乡,5.20425E+11,520000
10685,上海市,市辖区,3.101E+11,浦东新区,3.10115E+11,高东镇,3.10115E+11,310000
10686,江西省,九江市,3.604E+11,瑞昌市,3.60481E+11,夏畈镇,3.60481E+11,360000
10687,青海省,果洛藏族自治州,6.326E+11,玛沁县,6.32621E+11,大武镇,6.32621E+11,630000
10688,河北省,张家口市,1.307E+11,赤城县,1.30732E+11,大海陀乡,1.30732E+11,130000
10689,陕西省,榆林市,6.108E+11,横山区,6.10803E+11,高镇,6.10803E+11,610000
10690,江西省,九江市,3.604E+11,修水县,3.60424E+11,大椿乡,3.60424E+11,360000
10691,湖北省,十堰市,4.203E+11,竹溪县,4.20324E+11,源茂林场,4.20325E+11,420000
10692,山东省,潍坊市,3.707E+11,青州市,3.70781E+11,何官镇,3.70781E+11,370000
10693,新疆维吾尔自治区,阿克苏地区,6.529E+11,阿瓦提县,6.52928E+11,阿瓦提镇,6.52928E+11,650000
10694,江苏省,常州市,3.204E+11,武进区,3.20412E+11,遥观镇,3.20412E+11,320000
10695,山东省,潍坊市,3.707E+11,诸城市,3.70782E+11,百尺河镇,3.70782E+11,370000
10696,重庆市,市辖区,5.001E+11,万州区,5.00101E+11,龙沙镇,5.00101E+11,500000
10697,江西省,九江市,3.604E+11,修水县,3.60424E+11,竹坪乡,3.60424E+11,360000
10698,江苏省,镇江市,3.211E+11,扬中市,3.21182E+11,新坝镇,3.21182E+11,320000
10699,山东省,潍坊市,3.707E+11,青州市,3.70781E+11,庙子镇,3.70781E+11,370000
10700,内蒙古自治区,呼伦贝尔市,1.507E+11,扎赉诺尔区,1.50703E+11,第二街道办事处,1.50703E+11,150000
10701,河北省,邯郸市,1.304E+11,永年区,1.30408E+11,小龙马乡,1.30408E+11,130000
10702,湖北省,恩施土家族苗族自治州,4.228E+11,鹤峰县,4.22828E+11,太平镇,4.22828E+11,420000
10703,湖北省,鄂州市,4.207E+11,华容区,4.20703E+11,蒲团乡,4.20703E+11,420000
10704,四川省,凉山彝族自治州,5.134E+11,雷波县,5.13437E+11,山棱岗乡,5.13437E+11,510000
10705,广东省,广州市,4.401E+11,白云区,4.40111E+11,棠景街道,4.40111E+11,440000
10706,湖北省,荆州市,4.21E+11,荆州区,4.21003E+11,菱角湖管理区,4.21003E+11,420000
10707,安徽省,黄山市,3.41E+11,休宁县,3.41022E+11,海阳镇,3.41022E+11,340000
10708,辽宁省,辽阳市,2.11E+11,宏伟区,2.11004E+11,光华街道办事处,2.11004E+11,210000
10709,辽宁省,阜新市,2.109E+11,彰武县,2.10922E+11,彰武镇,2.10922E+11,210000
10710,四川省,凉山彝族自治州,5.134E+11,宁南县,5.13427E+11,石梨镇,5.13427E+11,510000
10711,福建省,宁德市,3.509E+11,蕉城区,3.50902E+11,城南镇,3.50902E+11,350000
10712,湖南省,张家界市,4.308E+11,永定区,4.30802E+11,新桥镇,4.30802E+11,430000
10713,辽宁省,鞍山市,2.103E+11,立山区,2.10304E+11,曙光街道办事处,2.10304E+11,210000
10714,贵州省,遵义市,5.203E+11,湄潭县,5.20328E+11,复兴镇,5.20328E+11,520000
10715,湖北省,黄冈市,4.211E+11,罗田县,4.21123E+11,胜利镇,4.21123E+11,420000
